"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_hit_by_pitch","b_intent_walk","b_sac_fly","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","bacon","xbacon","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Naylor, Bo",666310,2025,25,92,106,18,10,3,0,5,24,12,22.6,11.3,".196",".391",".286","0.677","0.195",".203","0","0","1",".205",".430",".300",".313",".294",".225",".336",".355",".261",".273","72.5",22.3,13.4,10.3,31,23.9,"7.8",4,"91","24.2",32.9,11.4,35.7,"99.842460882","94.251239706",25.1,49.9
"Cruz, Oneil",665833,2025,26,130,160,31,18,5,0,8,47,26,29.4,16.3,".238",".462",".369","0.831","0.224",".299","2","2","2",".262",".523",".363",".403",".396",".260",".460",".534",".365",".417","78.7",75.6,28.3,19.1,36.8,24.9,"7.7",5,"96.5","11.5",36.5,22.4,61.2,"108.465163256","99.763407176",32.9,39.6
"Heyward, Jason",518792,2025,35,72,81,13,9,2,0,2,16,5,19.8,6.2,".181",".292",".225","0.517","0.111",".193","0","0","3",".200",".302",".228",".249",".249",".103",".250",".279",".220",".253","72.2",19.7,12.1,9.4,31.9,24.8,"8.3",4,"85.7","12.8",22,5.1,30.5,"97.407218621","92.70360931",24.6,47.9
"Thomas, Rhylan",689041,2025,25,8,10,1,0,1,0,0,0,1,0,10,".125",".250",".200","0.450","0.125",".111","0","0","1",".144",".170",".197",".181",".217",".027",".141",".123",".111",".130","66.2",0,5.6,5.3,33.3,31.6,"6.7",0,"83.7","14.5",11.1,0,33.3,"93.921276","91.587194444",5,58.8
"DeLuca, Jonny",676356,2025,26,23,25,10,9,0,1,0,4,2,16,8,".435",".522",".480","1.002","0.087",".526","0","0","0",".296",".348",".442",".313",".352",".052",".508",".339",".526",".358","69.2",2.3,2.9,2.3,26.5,20.5,"7.6",0,"82.5","14.4",26.3,0,10.5,"92.656076","90.690687368",24.5,51.6
"Chisholm Jr., Jazz",665862,2025,27,105,125,19,9,3,0,7,39,15,31.2,12,".181",".410",".304","0.714","0.229",".200","4","0","1",".213",".440",".319",".338",".331",".227",".394",".431",".284",".334","71.8",25.1,14.2,9.5,32.8,22.1,"7.7",3,"87.9","18.2",29.9,14.9,38.8,"99.485480909","93.928145303",35.1,42.7
"Mateo, Jorge",622761,2025,30,30,31,4,2,2,0,0,11,1,35.5,3.2,".133",".200",".161","0.361","0.067",".211","0","0","0",".155",".253",".162",".190",".182",".098",".228",".274",".211",".245","71.9",17.5,9.8,7,24.4,17.5,"7.5",2,"90.3","18.8",21.1,5.3,36.8,"98.268027","93.553782632",36.4,55.9
"Meidroth, Chase",805367,2025,23,61,70,15,13,2,0,0,12,9,17.1,12.9,".246",".279",".343","0.622","0.033",".306","0","0","0",".237",".279",".292",".287",".335",".042",".289",".281",".306",".295","66.8",0,10.5,9,44.7,38.2,"6.7",3,"86","10",22.4,0,36.7,"96.75404","92.475107959",17.3,34.8
"Collins, Isaac",686555,2025,27,61,70,14,9,4,0,1,17,8,24.3,11.4,".230",".344",".329","0.673","0.114",".302","1","0","0",".205",".325",".308",".286",".307",".120",".346",".311",".318",".284","73.7",34.7,8.9,6.9,25.3,19.8,"6.9",3,"87.1","17.8",34.1,6.8,27.3,"97.234959091","92.724862791",27.1,42.6
"Langeliers, Shea",669127,2025,27,133,147,33,20,5,0,8,21,12,14.3,8.2,".248",".466",".306","0.772","0.218",".236","0","1","2",".281",".489",".333",".355",".341",".207",".359",".388",".289",".334","72.3",20.4,18.4,14.6,36.9,29.2,"7.1",0,"90.6","11.9",35.1,12.3,47.4,"102.559092105","95.649930265",20.5,48.2
